"country","method","user_count","total_cost","verification_success_rate"
"NO","Whatsapp","9","0.39","1.0000"
"IE","Whatsapp","9","0.39","1.0000"
"TH","Sms","14","0.38","1.0000"
"NP","Sms","2","0.36","1.0000"
"KR","Sms","8","0.36","0.8750"
"BF","Sms","3","0.36","0.6667"
"JP","Whatsapp","8","0.34","1.0000"
"MT","Sms","5","0.33","0.8000"
"BB","Sms","2","0.32","0.5000"
"HU","Sms","4","0.31","0.7500"
"CY","Sms","4","0.31","1.0000"
"CO","Whatsapp","7","0.30","0.8571"
"MX","Whatsapp","7","0.30","1.0000"
"ET","Whatsapp","7","0.30","0.8571"
"GY","Sms","2","0.29","0.5000"
"BI","Sms","1","0.28","1.0000"
"CL","Sms","5","0.27","1.0000"
"MN","Sms","1","0.26","0.0000"
"CD","Whatsapp","6","0.26","1.0000"
"PT","Whatsapp","6","0.26","1.0000"
"ML","Whatsapp","6","0.26","1.0000"
"MR","Whatsapp","6","0.26","1.0000"
"SG","Whatsapp","6","0.26","0.8333"
"AL","Sms","3","0.26","0.6667"
"EE","Sms","3","0.25","0.6667"
"VN","Sms","2","0.24","0.5000"
"TW","Whatsapp","5","0.22","1.0000"
"DK","Whatsapp","5","0.22","1.0000"
"CM","Whatsapp","5","0.22","1.0000"
"BH","Whatsapp","5","0.22","1.0000"
"GR","Sms","4","0.22","0.5000"
"AZ","Whatsapp","5","0.22","1.0000"
"TH","Whatsapp","5","0.22","0.8000"
"LU","Sms","3","0.22","1.0000"
"CG","Sms","1","0.21","0.0000"
"LV","Sms","3","0.20","1.0000"
"PA","Sms","2","0.20","1.0000"
"AW","Sms","2","0.18","1.0000"
"YT","Sms","1","0.18","1.0000"
"DJ","Whatsapp","4","0.17","1.0000"
"CY","Whatsapp","4","0.17","1.0000"
"HN","Sms","2","0.17","1.0000"
"KZ","Whatsapp","4","0.17","0.5000"
"EC","Sms","1","0.17","1.0000"
"BR","Whatsapp","4","0.17","0.7500"
"RO","Whatsapp","4","0.17","0.7500"
"HR","Sms","2","0.16","1.0000"
"PF","Sms","1","0.16","1.0000"
"BG","Whatsapp","3","0.15","1.0000"
"BO","Sms","1","0.14","1.0000"
"IS","Sms","2","0.14","1.0000"
"AM","Sms","1","0.14","1.0000"
"GQ","Sms","1","0.13","1.0000"
"UA","Whatsapp","3","0.13","0.6667"
"MV","Whatsapp","3","0.13","1.0000"
"FI","Whatsapp","3","0.13","0.6667"
"DO","Sms","2","0.13","0.5000"
"MK","Sms","2","0.13","1.0000"
"AO","Whatsapp","3","0.13","1.0000"
"TT","Whatsapp","3","0.13","1.0000"
"CN","Sms","3","0.12","0.6667"
"BM","Sms","1","0.12","1.0000"
"LT","Sms","2","0.11","1.0000"
"KG","Whatsapp","2","0.09","1.0000"
"KR","Whatsapp","2","0.09","1.0000"
"MG","Whatsapp","2","0.09","1.0000"
"KH","Whatsapp","2","0.09","1.0000"
"MU","Whatsapp","2","0.09","1.0000"
"HK","Whatsapp","2","0.09","0.5000"
"NP","Whatsapp","2","0.09","1.0000"
